Vegobjekt_540_id,Art,"ÅDT, total",Vegobjekt_540_lengde,antall_kollisjoner,frekvens
1024045964.0,Rådyr,697.0,28148.139,36,0.00012740972490116897
1024045652.0,Rådyr,349.0,14238.165,17,0.000120036999639889
1024045860.0,Rådyr,400.0,10604.262,14,8.939746111210442e-05
1024046936.0,Rådyr,175.0,5832.378,6,8.607456926850961e-05
1024046357.0,Rådyr,120.0,34257.803,6,7.686592021317481e-05
1024045683.0,Rådyr,435.0,9477.941,12,7.132116515010133e-05
1024047168.0,Rådyr,200.0,9745.732,5,6.0425881613612746e-05
1024045906.0,Rådyr,400.0,16390.732,9,5.542179061647505e-05
1024045840.0,Rådyr,160.0,15254.268,4,5.430798055774296e-05
1024046670.0,Rådyr,355.0,18427.044,8,5.405332360373508e-05
1024046433.0,Rådyr,500.0,30114.888,10,4.7033370176139973e-05
1024046652.0,Rådyr,280.0,5291.08,5,4.6515522229768074e-05
1024046441.0,Rådyr,233.0,5798.499,4,4.403201127219488e-05
1024046995.0,Rådyr,300.0,6589.197,5,4.307040288054854e-05
1024045635.0,Hjort,500.0,60513.582,10,4.114989259878032e-05
1024535183.0,Rådyr,300.0,14164.998,5,4.04318117494845e-05
1024046468.0,Rådyr,411.0,27522.008,7,3.94284008403882e-05
1024046114.0,Rådyr,735.0,13591.844,10,3.547772531016401e-05
1024046762.0,Rådyr,300.0,7062.902,4,3.431620668651287e-05
1024046320.0,Rådyr,550.0,35965.031,8,3.379591491878419e-05
1024045843.0,Rådyr,220.0,11420.206,3,3.270824247710423e-05
1024046111.0,Elg,300.0,18388.369,4,3.1277367696734645e-05
1024046131.0,Rådyr,1500.0,4661.94,17,3.07880658212626e-05
1024046323.0,Rådyr,240.0,14932.696,3,2.9258872753162397e-05
1024045820.0,Rådyr,550.0,7275.17,6,2.8842687177021994e-05
1024045703.0,Elg,418.0,55635.098,6,2.88177517350688e-05
1024045635.0,Rådyr,500.0,60513.582,7,2.8804924819146222e-05
1024045535.0,Rådyr,836.0,9080.333,9,2.8642352491884668e-05
1024046293.0,Rådyr,478.0,42706.208,6,2.7627362139462923e-05
1024046664.0,Rådyr,500.0,6970.219,5,2.6389402016150313e-05
1024045805.0,Rådyr,600.0,9827.572,6,2.622056741307882e-05
1024046221.0,Rådyr,300.0,6115.128,3,2.5948190113739567e-05
1024045911.0,Rådyr,260.0,59862.737,4,2.5845970936205683e-05
1024046726.0,Rådyr,920.0,12989.388,9,2.58035660528285e-05
1024046621.0,Rådyr,300.0,8967.465,3,2.532350781230216e-05
1024046069.0,Rådyr,550.0,4316.645,5,2.438227506132142e-05
1024046347.0,Rådyr,300.0,14781.392,3,2.413884664590726e-05
1024045907.0,Rådyr,273.0,24711.85,3,2.4124094341291603e-05
1024045637.0,Rådyr,1000.0,10607.455,9,2.396121478034222e-05
1024045639.0,Rådyr,770.0,24848.722,7,2.288337000120955e-05
1024046468.0,Elg,411.0,27522.008,4,2.2530514765936114e-05
1024046252.0,Rådyr,700.0,10831.326,6,2.2528357570091353e-05
1024046011.0,Rådyr,2300.0,7349.897,19,2.2436086674145363e-05
1024046090.0,Rådyr,600.0,6554.424,5,2.216764056500882e-05
1024046693.0,Rådyr,718.0,9919.177,6,2.205971565026527e-05
1024046378.0,Rådyr,479.0,7560.084,4,2.1930425724389374e-05
1024045862.0,Rådyr,350.0,10705.467,3,2.1667689863132427e-05
1024046741.0,Rådyr,621.0,4228.887,5,2.1654958552409332e-05
1024045960.0,Rådyr,500.0,2353.713,4,2.163869864866327e-05
1024046686.0,Rådyr,500.0,4230.371,4,2.1421303486317142e-05
1024046636.0,Rådyr,500.0,5838.142,4,2.1238411791566228e-05
1024046244.0,Rådyr,507.0,5115.948,4,2.1033701247824328e-05
1024045770.0,Rådyr,716.0,26246.491,6,2.0863324362103857e-05
1024046045.0,Elg,619.0,15466.363,5,2.071242455499356e-05
1024046045.0,Rådyr,619.0,15466.363,5,2.071242455499356e-05
1024045655.0,Rådyr,1580.0,4048.66,12,2.066297143860773e-05
1022805738.0,Hjort,1700.0,13680.406,13,2.0498911980825635e-05
1024046694.0,Hjort,338.0,29036.353,3,1.968426439903941e-05
1024046009.0,Rådyr,550.0,6225.395,4,1.93260055562266e-05
1024045738.0,Rådyr,392.0,15510.631,3,1.891658416934126e-05
1024046631.0,Rådyr,700.0,17818.619,5,1.8293642227580228e-05
1024045877.0,Rådyr,1800.0,5465.313,12,1.811416452189927e-05
1024045783.0,Rådyr,866.0,17686.067,6,1.79761277024112e-05
1024045805.0,Hjort,600.0,9827.572,4,1.748037827538588e-05
1024045981.0,Rådyr,766.0,8392.722,5,1.736213595941427e-05
1024046622.0,Rådyr,937.0,10573.151,6,1.7017511018838383e-05
1024045611.0,Rådyr,800.0,4754.185,5,1.684897254965392e-05
1024046742.0,Rådyr,649.0,3554.038,4,1.6636236217918057e-05
1024045831.0,Elg,612.0,24095.8,4,1.6163183500622284e-05
1024046277.0,Rådyr,1500.0,13300.965,9,1.6048473522693434e-05
1024046537.0,Rådyr,500.0,4923.337,3,1.6006573366129022e-05
1024045895.0,Hjort,1490.0,19621.303,9,1.5972428039774895e-05
1024047014.0,Rådyr,500.0,7700.219,3,1.577287066246057e-05
1024046937.0,Rådyr,1200.0,5985.962,7,1.576626290018154e-05
1024046721.0,Rådyr,700.0,4821.912,4,1.5365585697712832e-05
1024045894.0,Rådyr,1580.0,11332.075,9,1.5305289508053984e-05
1024046363.0,Hjort,700.0,7279.836,4,1.5221858588933708e-05
1024046640.0,Rådyr,1800.0,6784.021,10,1.506514167259229e-05
1024046938.0,Rådyr,717.0,5811.055,4,1.495237668027333e-05
1024045735.0,Rådyr,1470.0,5062.181,8,1.4770721475890489e-05
1024046203.0,Rådyr,729.0,5411.621,4,1.4733127806200437e-05
1024046452.0,Rådyr,1100.0,6085.473,6,1.472085577241557e-05
1024045551.0,Elg,877.0,20270.708,5,1.4689637342233295e-05
1024045835.0,Rådyr,550.0,3892.233,3,1.4659747265957136e-05
1024046631.0,Elg,700.0,17818.619,4,1.4634913782064182e-05
1022805395.0,Hjort,2080.0,5924.542,11,1.437673582747917e-05
1022805388.0,Rådyr,2600.0,31163.243,14,1.4283338587561456e-05
1024045895.0,Rådyr,1490.0,19621.303,8,1.419771381313324e-05
1024046601.0,Rådyr,1720.0,13505.125,9,1.403388403333827e-05
1024045494.0,Rådyr,945.0,16178.022,5,1.3846464859056834e-05
1024046188.0,Rådyr,1000.0,2156.4,5,1.3618189543409342e-05
1024046194.0,Rådyr,800.0,2089.863,4,1.3601278520180896e-05
1024045639.0,Elg,770.0,24848.722,4,1.30762114292626e-05
1022805916.0,Hjort,1660.0,9285.324,8,1.3004218243292668e-05
1022805916.0,Rådyr,1660.0,9285.324,8,1.3004218243292668e-05
1022805754.0,Rådyr,4400.0,13248.23,21,1.296898313291108e-05
1024045819.0,Rådyr,625.0,9575.888,3,1.2620897682382488e-05
1024046917.0,Rådyr,1300.0,2674.36,6,1.2574029599265676e-05
1024045886.0,Rådyr,1300.0,6690.325,6,1.2469087055009455e-05
1024046195.0,Elg,584.0,30340.756,3,1.232027794547045e-05
1024045748.0,Rådyr,2040.0,11100.656,9,1.1909472132496848e-05
1024045530.0,Rådyr,1300.0,30272.09,6,1.1886554721735754e-05
1024045807.0,Rådyr,1600.0,11320.552,7,1.1758362295299511e-05
1024046126.0,Rådyr,688.0,5002.073,3,1.1713167943401972e-05
1024046287.0,Rådyr,700.0,1938.981,3,1.1653246011676552e-05
1024046396.0,Rådyr,1380.0,12039.816,6,1.1633768953348587e-05
1024045528.0,Rådyr,700.0,2612.095,3,1.1622861393503596e-05
1024045610.0,Rådyr,700.0,3083.841,3,1.1601645886829812e-05
1024046144.0,Rådyr,700.0,3478.0,3,1.1583995551745708e-05
1024046721.0,Elg,700.0,4821.912,3,1.1524189273284625e-05
1024045565.0,Rådyr,950.0,5451.18,4,1.1357151172199965e-05
1024045604.0,Rådyr,1440.0,5634.106,6,1.1294457809552853e-05
1024046273.0,Rådyr,700.0,11450.058,3,1.1238059561715677e-05
1024046940.0,Rådyr,727.0,3805.883,3,1.1145745483186643e-05
1024046005.0,Hjort,700.0,16631.599,3,1.1024061852336366e-05
